STOCK_CODE,YEAR,EP,BP,SP,CP,RETURN
AAA,2016,384,237,380,95,1.012244898
AAM,2016,38,673,464,,1.078431373
ABI,2016,331,184,251,398,1.033333333
ABT,2016,297,249,212,273,0.868544601
ACC,2016,542,229,356,,0.697278912
ACE,2016,732,292,566,416,0.873287671
ACL,2016,564,677,754,450,1.05
ACM,2016,388,868,357,,0.611111111
ACV,2016,148,16,28,40,2.080392157
ADC,2016,546,362,683,423,1.086956522
ADP,2016,626,55,295,192,0.518421053
ADS,2016,376,216,543,,0.717488789
AGF,2016,58,788,845,565,0.612765957
AGM,2016,100,681,821,,0.898979592
AGP,2016,589,281,513,405,0.983333333
AGR,2016,,701,38,,
AGX,2016,774,710,569,367,2.847222222
ALP,2016,,,,,
ALT,2016,156,680,330,345,0.770588235
ALV,2016,755,820,652,,2.617647059
AMC,2016,585,185,438,372,0.845637584
AMD,2016,169,303,393,,0.322509225
AME,2016,167,786,794,,3.263157895
AMV,2016,90,67,106,132,1.224489796
ANV,2016,122,754,698,496,2.834158416
APC,2016,576,276,113,236,1.593360996
APG,2016,7,627,15,,0.928213689
API,2016,,82,10,,
APP,2016,642,553,517,254,1.088888889
APS,2016,93,821,143,9,1.192307692
ARM,2016,286,78,447,91,1.566951567
ASA,2016,283,861,743,312,1.363636364
ASD,2016,785,879,904,,1.2
ASM,2016,178,282,122,358,0.720779221
ASP,2016,566,772,797,,2
ATA,2016,,,,,
ATG,2016,33,854,264,115,0.965665236
ATS,2016,137,319,302,161,3.795620438
AVF,2016,,,823,26,
B82,2016,10,783,879,588,0.764705882
BAM,2016,,,,,
BBC,2016,144,79,205,166,0.703389831
BBS,2016,427,555,708,118,0.755905512
BCC,2016,584,458,503,486,0.5
BCE,2016,214,669,671,,0.952380952
BCG,2016,126,708,573,513,1.28125
BCI,2016,,,,,
BCP,2016,225,516,416,,0.98019802
BDB,2016,374,461,612,23,0.339805825
BDW,2016,275,568,379,499,2.068493151
BED,2016,187,74,188,78,0.797297297
BFC,2016,571,102,555,413,1.017391304
BHP,2016,128,576,483,210,0.86440678
BHT,2016,,571,145,,
BHV,2016,,,,,
BIC,2016,79,92,73,19,0.921717172
BII,2016,163,838,265,,0.346153846
BKC,2016,234,706,467,483,1.466666667
BLF,2016,503,803,863,600,0.707317073
BLI,2016,110,632,422,98,1.046153846
BMC,2016,95,219,109,46,0.581589958
BMI,2016,230,313,285,57,1.098591549
BMJ,2016,603,348,249,187,0.833333333
BMP,2016,227,23,102,62,0.334467671
BPC,2016,704,542,668,164,0.979381443
BRC,2016,632,563,371,186,0.891891892
BSC,2016,114,347,318,,1.142857143
BSI,2016,398,343,171,573,1.163934426
BST,2016,354,346,595,77,0.888888889
BT6,2016,,,,,
